mutation_type	count
non-clustered|DEL|>10Mb	9
non-clustered|DEL|1-10kb	31
non-clustered|DEL|10-100kb	25
non-clustered|DEL|100kb-1Mb	24
non-clustered|DEL|1Mb-10Mb	18
non-clustered|DUP|>10Mb	6
non-clustered|DUP|1-10kb	13
non-clustered|DUP|10-100kb	16
non-clustered|DUP|100kb-1Mb	24
non-clustered|DUP|1Mb-10Mb	10
non-clustered|INV|>10Mb	13
non-clustered|INV|1-10kb	3
non-clustered|INV|10-100kb	16
non-clustered|INV|100kb-1Mb	19
non-clustered|INV|1Mb-10Mb	16
non-clustered|TRA|	219
clustered|DEL|10-100kb	4
clustered|DEL|100kb-1Mb	3
clustered|DEL|1Mb-10Mb	1
clustered|DUP|10-100kb	3
clustered|DUP|100kb-1Mb	4
clustered|INV|100kb-1Mb	1
clustered|INV|1Mb-10Mb	1
clustered|TRA|	3
clustered|DEL|1-10kb	0
clustered|DEL|>10Mb	0
clustered|DUP|1-10kb	0
clustered|DUP|1Mb-10Mb	0
clustered|DUP|>10Mb	0
clustered|INV|1-10kb	0
clustered|INV|10-100kb	0
clustered|INV|>10Mb	0
